gk_player_id,gk_name,gk_team,league,matches,xGA_pm,goals_conc_pm,saves_pm,save_pct,goals_prevented_pm,clean_sheet_pct,home_matches,home_save_pct,home_gp_pm,away_matches,away_save_pct,away_gp_pm,vs_hard_matches,vs_hard_save_pct,vs_hard_gp_pm,vs_easy_matches,vs_easy_save_pct,vs_easy_gp_pm,win_save_pct,draw_save_pct,loss_save_pct,ha_save_delta,adversity_index,consistency_cv,best_zone,zone_gp_six_yard,zone_gp_pen_area,zone_gp_outside_box,clinical_per_sot,loss_resilience
6929,Adrian Semper,Pisa,Serie_A,22,1.6228,1.5,3.1364,63.9,0.1228,18.2,11,72.9,0.4461,11,56.7,-0.2005,6,59.5,0.3595,6,75.0,-0.2643,75.0,73.3,55.9,16.2,0.624,7.845,six_yard,3.152,2.597,-3.045,0.025,55.9
6982,Ivan Provedel,Lazio,Serie_A,27,1.3922,1.0,3.2593,72.7,0.3922,44.4,13,70.0,0.2517,14,75.4,0.5227,7,61.0,0.2761,7,83.3,0.6561,90.6,74.5,57.1,-5.4,-0.38,2.042,pen_area,2.83,7.005,0.753,0.0875,57.1
7027,Arijanet Muric,Sassuolo,Serie_A,32,1.6847,1.2812,3.6875,72.4,0.4034,18.8,15,72.2,0.4392,17,72.5,0.3718,8,63.6,0.836,8,85.2,0.1784,81.4,74.1,67.7,-0.3,0.658,2.246,pen_area,1.645,9.95,1.311,0.0792,67.7
7047,Mark Flekken,Bayer Leverkusen,Bundesliga,22,1.4629,1.5,3.1818,63.6,-0.0371,22.7,12,64.7,-0.1646,10,62.7,0.1158,6,54.1,-0.1377,6,71.4,-0.1405,72.0,52.6,58.5,2.0,0.003,23.653,pen_area,1.674,1.908,-4.401,-0.0074,58.5
7048,Frederik Rönnow,Union Berlin,Bundesliga,30,1.6863,1.8,2.5667,55.0,-0.1137,16.7,15,56.5,-0.3625,15,53.8,0.1351,8,45.3,0.325,8,52.0,-0.6706,75.0,69.7,41.8,2.7,0.996,10.027,six_yard,4.167,-4.853,-2.733,-0.0244,41.8
7087,Elia Caprile,Cagliari,Serie_A,36,1.6101,1.4167,3.2222,67.1,0.1934,22.2,18,66.2,0.1798,18,67.7,0.2069,9,63.2,0.8912,9,76.0,-0.107,85.4,68.9,57.5,-1.5,0.998,5.139,six_yard,8.15,1.297,-2.491,0.0402,57.5
7287,Iñaki Peña,Elche,La_Liga,16,2.3422,1.75,3.4375,61.8,0.5922,25.0,8,68.8,1.2144,8,53.7,-0.0299,4,48.1,1.592,4,100.0,0.8198,100.0,65.0,49.1,15.1,0.772,2.036,pen_area,4.244,6.237,-1.007,0.1065,49.1
7702,Dean Henderson,Crystal Palace,EPL,33,1.5578,1.2121,2.8182,67.4,0.3457,33.3,16,65.6,0.3674,17,68.9,0.3252,9,65.5,0.6416,8,80.0,0.1382,86.5,65.4,58.7,-3.3,0.503,2.714,pen_area,5.679,5.682,0.05,0.0827,58.7
7735,Donovan Léon,Auxerre,Ligue_1,27,1.4829,1.2222,3.5926,72.9,0.2607,29.6,14,75.8,0.2304,13,70.4,0.2932,7,73.1,0.6807,7,63.0,-0.6256,81.2,84.1,64.4,5.4,1.306,4.555,pen_area,2.001,5.654,-0.616,0.0529,64.4
7859,Sergio Herrera,Osasuna,La_Liga,35,1.3914,1.2857,3.2857,70.6,0.1057,20.0,17,68.1,-0.1351,18,72.3,0.3331,9,74.2,0.7356,9,81.0,0.1048,78.4,69.2,67.8,-4.2,0.631,7.955,pen_area,-1.01,7.747,-3.042,0.0227,67.8
7904,Caoimhin Kelleher,Brentford,EPL,34,1.4874,1.2059,2.5882,62.9,0.2816,29.4,18,64.5,0.3122,16,60.9,0.2471,9,70.6,1.2283,9,63.0,0.0603,71.2,64.7,53.7,3.6,1.168,3.524,pen_area,0.694,7.325,1.557,0.0684,53.7
8290,Edoardo Corvi,Parma Calcio 1913,Serie_A,16,1.8131,1.125,2.6875,64.2,0.6881,37.5,8,66.7,0.5116,8,60.7,0.8645,4,53.3,0.7443,4,55.6,0.0232,70.0,76.9,55.9,6.0,0.721,1.071,six_yard,5.118,4.561,1.331,0.1643,55.9
8326,Maduka Okoye,Udinese,Serie_A,28,1.5552,1.25,2.5714,61.0,0.3052,35.7,14,68.1,0.3298,14,56.3,0.2806,7,55.1,0.2921,7,80.0,0.1533,75.0,55.6,57.1,11.8,0.139,3.061,pen_area,3.329,5.377,-0.162,0.0724,57.1
8638,Lucas Chevalier,Paris Saint Germain,Ligue_1,17,0.9632,0.7647,1.9412,63.5,0.1985,52.9,8,74.1,0.4566,9,52.0,-0.0309,5,59.1,0.4992,4,50.0,-0.0383,67.7,58.3,55.6,22.1,0.538,4.324,pen_area,0.729,4.249,-1.599,0.0649,55.6
8641,Radoslaw Majecki,Brest,Ligue_1,10,1.6957,1.8,3.0,60.0,-0.1043,30.0,4,58.8,-0.149,6,60.6,-0.0745,3,61.5,0.5037,3,100.0,0.3787,100.0,60.0,57.6,-1.8,0.125,8.231,six_yard,0.458,-1.71,0.208,-0.0209,57.6
8858,Guglielmo Vicario,Tottenham,EPL,31,1.5668,1.6129,2.6774,60.1,-0.0461,22.6,16,55.1,-0.1602,15,65.2,0.0757,8,60.4,0.149,8,60.9,-0.287,90.9,54.5,54.2,-10.1,0.436,22.581,six_yard,3.422,1.874,-6.732,-0.0103,54.2
8871,Marco Carnesecchi,Atalanta,Serie_A,35,1.3874,0.8857,2.9143,73.4,0.5017,37.1,18,70.2,0.328,17,75.0,0.6856,9,68.8,1.0316,9,73.7,0.0048,81.4,79.7,54.1,-4.8,1.027,2.553,pen_area,7.046,10.935,-0.423,0.1263,54.1
8881,Lorenzo Montipò,Verona,Serie_A,32,1.4058,1.4688,2.3438,56.4,-0.0629,15.6,16,60.3,-0.2199,16,53.3,0.0941,8,58.1,0.6353,8,66.7,-0.381,66.7,73.7,47.0,7.0,1.016,15.954,six_yard,3.702,-3.44,-2.272,-0.0151,47.0
9044,Alberto Paleari,Torino,Serie_A,27,1.5687,1.4815,2.9259,65.3,0.0873,33.3,14,62.1,0.2106,13,68.3,-0.0456,7,55.6,-0.262,7,93.3,0.3204,82.8,74.1,53.8,-6.2,-0.582,11.563,pen_area,0.932,5.311,-3.886,0.0195,53.8
9098,Robert Sánchez,Chelsea,EPL,33,1.5885,1.3939,2.697,63.6,0.1945,27.3,18,62.5,0.2501,15,64.7,0.1279,9,57.7,0.2411,8,77.8,0.1395,71.8,70.6,55.2,-2.2,0.102,4.78,pen_area,0.603,4.986,0.835,0.0459,55.2
9616,Grégoire Coudert,Brest,Ligue_1,21,1.6967,1.5238,3.0952,63.7,0.1729,28.6,11,60.5,0.3531,10,66.1,-0.0253,6,50.0,0.1727,5,78.6,0.1426,86.2,59.3,52.2,-5.6,0.03,5.487,pen_area,2.641,3.999,-3.01,0.0356,52.2
9676,David Raya,Arsenal,EPL,35,0.9125,0.7143,1.6,62.9,0.1983,48.6,18,62.5,0.2919,17,63.3,0.0991,9,61.5,0.8773,9,60.0,-0.1072,74.1,46.7,45.0,-0.8,0.984,4.793,six_yard,6.106,3.417,-2.589,0.078,45.0
9740,José Sá,Wolverhampton Wanderers,EPL,21,1.7989,1.6667,2.5714,54.5,0.1322,19.0,12,53.2,-0.1285,9,55.8,0.4798,6,56.4,0.5462,5,42.9,-0.4594,81.8,70.0,41.4,-2.6,1.006,9.93,six_yard,5.461,-3.088,0.401,0.028,41.4
9753,Diant Ramaj,FC Heidenheim,Bundesliga,31,2.0402,2.1613,3.1935,56.9,-0.1211,3.2,16,55.2,-0.1776,15,58.6,-0.0608,8,50.0,0.1083,8,64.3,-0.3276,63.6,59.6,55.2,-3.4,0.436,6.852,six_yard,1.704,-1.809,-3.65,-0.0216,55.2
9756,Dominik Greif,Lyon,Ligue_1,27,1.4352,1.1481,2.7407,66.7,0.287,40.7,14,71.2,0.3741,13,62.7,0.1932,7,65.9,0.9133,7,66.7,0.0033,75.5,70.6,53.7,8.5,0.91,4.448,pen_area,3.507,7.758,-3.516,0.0698,53.7
9773,Joan García,Barcelona,La_Liga,28,1.3313,0.7143,2.5357,77.2,0.617,50.0,14,82.4,0.5984,14,74.1,0.6356,7,75.0,1.1884,7,100.0,0.4004,77.8,83.3,71.4,8.3,0.788,1.215,pen_area,5.06,11.583,0.636,0.1878,71.4
9793,Matías Dituro,Elche,La_Liga,19,1.5532,1.3684,2.8421,65.1,0.1847,15.8,10,70.3,0.5146,9,60.9,-0.1818,5,77.4,1.4164,5,53.8,-0.4752,71.4,68.8,56.7,9.4,1.892,6.814,pen_area,0.473,5.74,-2.703,0.0423,56.7
9824,Julen Agirrezabala,Valencia,La_Liga,18,1.6676,1.6111,2.8889,62.7,0.0564,22.2,9,66.7,0.2299,9,61.0,-0.117,5,53.7,-0.4948,5,80.0,0.353,85.7,76.0,52.9,5.7,-0.848,18.615,six_yard,1.628,0.578,-1.19,0.0122,52.9
9839,Leo Román,Mallorca,La_Liga,29,1.7956,1.4483,3.1724,64.8,0.3473,10.3,15,69.4,0.3828,14,60.0,0.3094,8,63.3,0.6286,7,66.7,0.2273,79.5,68.0,56.4,9.4,0.401,2.261,pen_area,3.094,4.681,2.3,0.0709,56.4
9861,Jonas Urbig,Bayern Munich,Bundesliga,10,1.5373,1.4,2.0,52.6,0.1373,40.0,5,54.2,-0.2962,5,50.0,0.5708,3,47.1,0.0763,3,66.7,0.572,53.8,40.0,57.1,4.2,-0.496,5.577,six_yard,1.615,-0.6,0.355,0.0361,57.1
10160,Noah Atubolu,Freiburg,Bundesliga,32,1.5799,1.625,2.875,61.7,-0.0451,18.8,16,65.1,0.0245,16,59.3,-0.1146,8,52.1,0.1449,8,72.0,-0.2775,78.6,63.6,51.4,5.8,0.422,25.143,pen_area,-1.292,1.978,-2.126,-0.0097,51.4
10769,Robin Risser,Lens,Ligue_1,32,1.336,1.0312,2.4062,65.8,0.3048,34.4,16,67.4,0.3601,16,64.9,0.2494,8,62.8,1.124,8,68.8,-0.2232,75.0,53.8,52.8,2.5,1.347,3.432,pen_area,1.426,11.32,-2.993,0.0834,52.8
10780,Mory Diaw,Le Havre,Ligue_1,28,1.7431,1.3214,2.9286,63.1,0.4217,21.4,14,61.0,0.3569,14,64.8,0.4865,7,66.1,1.2579,7,76.5,-0.0164,84.2,65.3,54.8,-3.8,1.274,2.742,pen_area,-0.46,9.831,2.439,0.0908,54.8
10890,Michele Di Gregorio,Juventus,Serie_A,27,0.9804,0.7778,1.8889,62.2,0.2027,44.4,14,58.8,-0.0259,13,64.6,0.4488,7,63.6,0.5577,7,81.2,0.0851,67.6,62.5,52.4,-5.8,0.473,4.195,six_yard,2.733,2.298,0.438,0.0667,52.4
10967,Mile Svilar,Roma,Serie_A,35,1.1865,0.8286,2.8286,70.2,0.3579,45.7,18,72.7,0.2955,17,68.6,0.4241,9,63.3,0.5708,9,70.8,-0.005,78.9,56.2,66.2,4.1,0.576,2.722,pen_area,3.944,11.666,-3.079,0.0889,66.2
11711,Bart Verbruggen,Brighton,EPL,35,1.4501,1.0857,2.7143,69.3,0.3644,25.7,17,72.1,0.3051,18,67.1,0.4204,9,61.4,0.7967,8,88.9,0.3562,84.6,68.9,58.5,5.0,0.44,2.229,pen_area,2.792,13.82,-3.861,0.0931,58.5
11740,Álvaro Vallés,Real Betis,La_Liga,25,1.2997,1.16,3.04,72.4,0.1397,32.0,13,75.9,0.2338,12,68.6,0.0378,7,60.5,0.1206,6,78.9,-0.0768,85.7,75.5,53.6,7.3,0.197,7.176,pen_area,1.073,3.8,-1.378,0.0333,53.6
11776,Guillaume Restes,Toulouse,Ligue_1,32,1.3678,1.4062,2.5625,61.7,-0.0385,28.1,16,58.7,-0.2289,16,64.3,0.1519,8,53.4,-0.3174,8,75.0,-0.1024,82.9,53.6,54.3,-5.6,-0.215,28.134,six_yard,1.232,-2.654,0.189,-0.0093,54.3
11781,Philipp Köhn,Monaco,Ligue_1,17,1.2988,1.3529,2.4118,59.4,-0.0542,29.4,9,56.2,-0.162,8,62.2,0.0671,5,54.1,-0.4778,4,100.0,0.4102,67.6,55.6,50.0,-6.0,-0.888,13.122,outside_box,0.687,-3.157,1.547,-0.0133,50.0
12029,Daniel Batz,Mainz 05,Bundesliga,20,1.6861,1.3,3.25,67.0,0.3861,15.0,10,70.0,0.1232,10,64.9,0.649,5,58.8,0.8816,5,70.6,-0.1196,70.6,69.4,59.3,5.1,1.001,3.045,pen_area,1.142,7.208,-0.63,0.0796,59.3
12032,Djordje Petrovic,Bournemouth,EPL,35,1.5,1.4,2.8,63.2,0.1,28.6,18,61.7,-0.1111,17,64.2,0.3235,9,61.1,0.5253,8,68.8,-0.2308,71.4,65.7,52.2,-2.5,0.756,11.266,six_yard,5.627,0.341,-2.464,0.0226,52.2
12075,Kauã Santos,Eintracht Frankfurt,Bundesliga,13,1.8971,2.3846,3.0,52.0,-0.4875,15.4,7,40.6,-0.4787,6,60.5,-0.4978,4,57.6,-0.263,3,72.7,0.2693,64.3,45.0,51.2,-19.9,-0.532,1.897,six_yard,-0.888,-1.582,-3.866,-0.0845,51.2
12298,Augusto Batalla,Rayo Vallecano,La_Liga,31,1.4788,1.0968,2.7742,67.7,0.3821,32.3,15,78.4,0.3701,16,60.5,0.3932,8,52.1,0.424,8,84.6,0.262,88.9,76.9,52.5,17.9,0.162,1.993,pen_area,2.76,8.268,0.816,0.0933,52.5
12369,Lucas Perri,Leeds,EPL,16,1.6437,1.8125,2.3125,51.4,-0.1688,18.8,8,53.8,0.0459,8,50.0,-0.3835,4,48.1,-0.6858,4,75.0,0.0472,60.0,60.9,43.6,3.8,-0.733,5.668,outside_box,0.322,-4.421,1.4,-0.0375,43.6
12781,Zion Suzuki,Parma Calcio 1913,Serie_A,18,1.5036,1.2778,3.1111,65.9,0.2258,27.8,9,63.2,0.1444,9,68.1,0.3071,5,66.7,0.657,5,76.9,-0.1776,69.2,77.8,57.8,-4.9,0.835,3.962,pen_area,0.737,6.678,-3.352,0.0478,57.8
12910,Mads Hermansen,West Ham,EPL,15,1.4791,1.4667,3.0,66.2,0.0124,40.0,7,61.3,-0.0681,8,70.3,0.0829,4,48.0,-0.5138,4,94.1,0.6098,94.4,80.0,45.7,-9.0,-1.124,94.44,six_yard,1.801,-2.972,1.358,0.0027,45.7
12917,Luiz Júnior,Villarreal,La_Liga,28,1.3161,1.0,2.5357,70.3,0.3161,28.6,14,73.5,0.5543,14,67.3,0.0779,7,56.2,0.6553,7,91.7,0.318,81.5,50.0,50.0,6.2,0.337,2.046,pen_area,2.47,6.428,-0.05,0.0876,50.0
12925,Mio Backhaus,Werder Bremen,Bundesliga,30,1.7548,1.7333,2.9667,59.3,0.0215,16.7,15,50.8,-0.314,15,65.5,0.357,8,60.9,0.4502,8,66.7,-0.3167,82.4,60.0,54.8,-14.7,0.767,50.951,six_yard,3.998,-2.552,-0.802,0.0043,54.8
12942,Maarten Vandevoordt,RasenBallsport Leipzig,Bundesliga,10,1.8399,1.1,2.8,68.3,0.7399,20.0,5,70.6,0.9462,5,66.7,0.5336,3,58.8,1.7497,3,66.7,-0.0937,72.0,80.0,54.5,3.9,1.843,1.385,pen_area,1.289,5.0,1.11,0.1805,54.5
12964,Kamil Grabara,Wolfsburg,Bundesliga,32,1.9711,1.9688,3.5,60.2,0.0024,6.2,16,56.0,-0.1669,16,63.7,0.1717,8,58.9,0.1689,8,69.2,0.1228,78.1,67.5,52.6,-7.7,0.046,464.813,six_yard,5.498,-5.299,-0.124,0.0004,52.6
12973,Nikola Vasilj,St. Pauli,Bundesliga,32,1.9298,1.7188,3.4688,63.4,0.211,15.6,16,58.8,0.0608,16,67.8,0.3612,8,59.7,0.4118,8,66.7,0.0153,84.8,74.3,53.3,-9.0,0.396,4.341,pen_area,2.317,5.155,-0.719,0.0386,53.3
13712,Robin Roefs,Sunderland,EPL,32,1.7279,1.3125,3.1875,65.0,0.4154,28.1,16,67.2,0.425,16,63.4,0.4058,8,54.0,1.1124,8,70.0,0.175,85.4,79.2,39.7,3.8,0.937,2.602,pen_area,3.608,10.634,-0.953,0.0847,39.7
13781,Berke Özer,Lille,Ligue_1,30,1.2551,1.0333,2.2333,65.0,0.2218,40.0,15,65.9,0.1461,15,64.4,0.2975,8,55.0,0.5349,8,83.3,0.1008,76.5,66.7,42.9,1.5,0.434,3.764,six_yard,3.52,2.98,0.157,0.0646,42.9
13799,Obed Nkambadio,Paris FC,Ligue_1,12,1.6693,1.75,2.25,54.0,-0.0807,8.3,6,45.0,-0.2722,6,60.0,0.1108,3,44.4,-0.055,3,55.6,-0.1277,86.7,58.3,30.4,-15.0,0.073,12.422,pen_area,-0.024,0.272,-1.214,-0.0194,30.4
13807,Jonathan Fischer,Metz,Ligue_1,25,1.8756,2.04,3.44,59.7,-0.1644,16.0,13,58.1,-0.1215,12,61.0,-0.2109,7,51.7,-0.5057,6,60.0,-0.1873,90.0,78.6,55.0,-2.9,-0.318,5.607,six_yard,1.125,-1.404,-3.828,-0.0285,55.0
13816,Mike Penders,Strasbourg,Ligue_1,30,1.4263,1.3333,3.1333,68.6,0.093,26.7,15,72.2,0.0689,15,66.3,0.1171,8,60.7,0.2538,8,86.7,0.1621,73.8,75.0,61.0,5.9,0.092,7.418,pen_area,-0.364,2.405,0.75,0.0204,61.0
14056,Senne Lammens,Manchester United,EPL,29,1.2902,1.2069,2.3793,61.1,0.0833,20.7,15,64.3,-0.0189,14,57.9,0.1928,8,57.4,0.2186,7,69.2,-0.1909,68.9,52.8,50.0,6.4,0.41,9.358,six_yard,5.736,-2.764,-0.555,0.0214,50.0
14380,Justin Bijlow,Genoa,Serie_A,14,1.2979,1.2857,2.8571,65.6,0.0121,28.6,7,54.2,-0.4463,7,73.0,0.4706,4,47.6,-0.2962,4,71.4,-0.0555,76.5,93.8,42.9,-18.8,-0.241,72.871,six_yard,0.232,0.145,-0.204,0.0028,42.9
